event_idx,C1_in_catalog,C4_z_gw,C5_log10_sky_area,C8_cone_outside,C10_log10_M,C10b_low_M_timeout_bins12,C11_log10_snr,C2_hosted_exact,C3_hosted_rel,C3c_log10_f_cat,C3c_censored,C6_mass_window_retention,C7_log10_n_cand_1d
409,False,0.5862028386186601,-2.8857605526825365,,5.844456125482455,False,1.4617431929731775,False,False,-320.0,True,,0.0
410,False,0.5386615135822337,-2.649179727751891,,5.820258474939266,False,1.4377255724945257,True,False,-23.60691648821129,False,1.0,1.5797835966168101
411,False,0.4604303470038108,-2.770974172361995,,5.617492972348875,False,1.4139428323210468,True,False,-10.98860021295496,False,1.0,2.519827993775719
412,False,0.35080893939378527,-4.108378794997219,,5.694735794699038,False,1.596893123579505,False,False,-320.0,True,,0.0
413,False,0.4833921711532844,-1.87080204268295,,5.953106680109286,False,1.4009903810860869,False,False,-320.0,True,,0.0
414,False,0.8399015920566191,-2.6695847822976813,,6.022930112100149,False,1.332415506472832,False,False,-320.0,True,,0.0
415,False,0.8884621498506391,-2.3806951866957613,,5.79532623250041,False,1.329570155131211,False,False,-320.0,True,,0.0
416,False,0.7506850308305063,-2.8575575200390677,,5.956896152945129,False,1.4477429817841614,False,False,-320.0,True,,0.0
417,False,0.6428475142458698,-3.0737467657039073,,5.851007553319976,False,1.4731388663477185,True,False,-27.227468277951623,False,1.0,1.4471580313422192
418,False,0.5764770651448581,-3.101496242494003,,5.76563607264147,False,1.459829130534233,False,False,-320.0,True,,0.0
419,False,0.4015524412653289,-3.4787950242817525,,5.7927637649958035,False,1.590955979939819,True,False,-11.995342376174188,False,1.0,1.9637878273455553
420,False,0.2941871735304916,-2.634667302606876,,5.6319778358205985,False,1.5844045013538273,True,True,-1.7840062936114813,False,1.0,3.3975924340381165
421,False,0.4712926034530188,-3.698711611820354,,5.880950328896025,False,1.5889932925916206,False,False,-320.0,True,,0.0
422,False,0.5470196288506854,-3.9401201417464398,,5.61533981645902,False,1.4738914156977412,False,False,-320.0,True,,0.0
423,False,0.7547007667628827,-2.8419147173133315,,5.818939257810117,False,1.3837469424652864,False,False,-320.0,True,,0.0
424,False,0.7018946186098901,-2.858832191043772,,5.72757947496147,False,1.4045336851841417,False,False,-320.0,True,,0.0
425,False,0.5403769467591316,-3.746790189548562,,5.725204174513692,False,1.491764991692887,True,False,-25.22580767974983,False,1.0,0.47712125471966244
426,False,0.36194281189322397,-2.7462902459052794,,5.937123460383224,False,1.4354226883988093,True,True,-4.467368422423336,False,1.0,3.09968064110925
427,False,0.4036927366482799,-4.261485507660972,,5.687344114256292,False,1.6299375209358313,True,False,-14.04976895406469,False,1.0,1.3222192947339193
428,False,0.46509916206011725,-2.058433900699343,,5.712502504266185,False,1.4595703996337224,False,False,-320.0,True,,0.0
429,False,0.8573143331609335,-2.7372203236178896,,5.758132761700811,False,1.3692242768592517,False,False,-320.0,True,,0.0
430,False,0.70273502046547,-3.186104457994473,,5.902958939823875,False,1.334431863495935,False,False,-320.0,True,,0.0
431,False,0.3213491661797666,-3.694942923959361,,5.8448083715947385,False,1.8726432254549763,True,True,-2.8642086422136295,False,1.0,2.0969100130080562
432,False,0.4026017362795704,-2.4634938052344935,,5.6725760679719475,False,1.5977478585477376,True,False,-9.14890210887233,False,1.0,3.1386184338994925
433,False,0.6479209038648038,-2.9378196973592736,,5.925244754725233,False,1.4346888925786712,False,False,-320.0,True,,0.0
434,True,0.08279075955590486,-4.802346620503484,0.0,5.8854866615863015,False,2.3710578510604616,True,True,1.1777287094582765,False,1.0,1.0
435,False,0.2411873930034881,-2.889115749180821,,5.399267785290771,False,1.6137889177821405,True,True,-0.40030505170589964,False,0.9983940042826552,3.271609301378832
436,False,0.2926633174136018,-3.2925231966018487,,5.742106800730383,False,1.7905726497373133,True,True,-1.7954171299263002,False,1.0,2.7427251313046983
437,False,0.6474585554012252,-2.9966862257066524,,5.668419174484297,False,1.412021087807388,False,False,-320.0,True,,0.0
438,False,0.298679500734913,-3.299064063256939,,5.791712539145455,False,1.5903300147728407,False,False,-320.0,True,,0.0
439,False,0.45585198550570505,-2.5976872008002596,,5.919953491434487,False,1.369184318851131,True,False,-13.969648144690266,False,1.0,2.733999286538387
440,False,0.39671115431878373,-3.334255049857141,,5.659758886978207,False,1.536640028498396,True,False,-9.270357581836056,False,1.0,2.2278867046136734
441,False,0.5622046020273846,-2.669640594565778,,5.712033952613139,False,1.4066046955342897,True,False,-25.561723866142085,False,1.0,1.3979400086720377
442,True,0.07652022247647214,-5.397998762896864,0.0,5.882704015953125,False,2.4411424417282275,True,True,1.199293818063695,False,1.0,0.6020599913279624
443,False,0.3802565270832628,-2.7945291185819947,,5.870925705117183,False,1.7503634739563088,True,False,-34.255376310353476,False,1.0,0.6020599913279624
444,False,0.6206927384892388,-2.2615338224403647,,5.8234332909874595,False,1.424570877267595,False,False,-320.0,True,,0.0
445,False,0.6103966895687951,-3.230241993202168,,5.850657358455373,False,1.4361867917262008,False,False,-320.0,True,,0.0
446,False,0.770557881567656,-2.8165422795014083,,6.062960582883591,False,1.3913826102891225,False,False,-320.0,True,,0.0
447,False,0.3133192831869261,-3.062016837367197,,5.690986177771335,False,1.7483186597316682,True,True,-2.123592083506109,False,1.0,2.9469432706978256
448,False,0.7255435015627494,-3.0638849819478184,,5.761282725076477,False,1.3283057452438678,True,False,-29.525671485883727,False,1.0,0.3010299956639812
449,False,0.41009777260222063,-3.508564284044508,,5.799950816052759,False,1.663987422314051,True,False,-8.843415876215488,False,1.0,1.9344984512435677
450,False,0.3983133495911608,-2.8952431399321257,,5.626823771016807,False,1.5144471046448291,True,False,-8.65151404633949,False,1.0,2.8494194137968996
451,False,0.8166735779488795,-2.186881132256077,,6.0844455599463565,False,1.313462002258583,False,False,-320.0,True,,0.0
452,False,0.5067309343982966,-3.2222670863288254,,6.080308834656918,False,1.4933033891669818,False,False,-320.0,True,,0.0
