event_idx,C1_in_catalog,C4_z_gw,C5_log10_sky_area,C8_cone_outside,C10_log10_M,C10b_low_M_timeout_bins12,C11_log10_snr,C2_hosted_exact,C3_hosted_rel,C3c_log10_f_cat,C3c_censored,C6_mass_window_retention,C7_log10_n_cand_1d
97,False,0.5434542016914393,-3.2716415734735818,,5.60750714999983,False,1.368818104374319,True,False,-8.026590623579896,False,1.0,1.792391689498254
98,False,0.23668656956813167,-2.237360292395806,,5.875577480115833,False,1.3171574929916967,True,True,0.21139241586337068,False,0.9982698961937716,4.017242084547646
99,False,0.7610333055052595,-3.0325045668443797,,5.8933515342496055,False,1.3602739875471268,False,False,-320.0,True,,0.0
100,False,0.4350515221807672,-3.2459346922442416,,5.656672734706666,False,1.453607463854071,True,True,-3.8420735602729867,False,1.0,2.1903316981702914
101,False,0.4110268951052409,-3.0366201770091488,,5.757371901545904,False,1.3450480660367599,True,True,-3.3963874345455074,False,1.0,2.6232492903979003
102,False,0.5231025222044151,-3.4156715759245984,,5.7417907160703905,False,1.4228214786774018,True,False,-6.203291216547668,False,1.0,1.568201724066995
103,False,0.7083804002690953,-2.3477630393579325,,5.7162628427780815,False,1.3453777492109062,True,False,-10.969574675502912,False,1.0,1.7323937598229686
104,False,0.2931888131728148,-3.7293609921050312,,5.690926324454127,False,1.828593160285299,True,True,-0.8956212588125573,False,1.0,2.113943352306837
105,True,0.04474537400329255,-3.430154218019639,0.0,5.870041663947091,False,2.0521930540247446,True,True,1.1446987381168483,False,0.9051724137931034,2.0681858617461617
106,False,0.43855952169732276,-1.7029540211268699,,5.741845480700598,False,1.3707888543298872,False,False,-320.0,True,,0.0
107,True,0.06822505277664818,-4.08115034757908,0.0,5.879735591959379,False,2.4313910251379847,True,True,1.1419707143343822,False,0.8823529411764706,1.8388490907372552
108,False,0.3605715875044079,-3.997920923961541,,5.736893916042515,False,1.7059260921745014,False,False,-320.0,True,,0.0
109,False,0.3809791029800961,-2.7562290970356296,,5.8271992851563725,False,1.5237982074720238,True,True,-3.236575682813642,False,1.0,2.3909351071033793
110,False,0.2786732598748021,-4.042774115752771,,5.633859609839765,False,1.7520474246869475,False,False,-320.0,True,,0.0
111,False,0.8307661778441019,-2.184670929715095,,5.9491525857333265,False,1.3466993444474247,False,False,-320.0,True,,0.0
112,False,0.2391988084884485,-2.6350125045346027,,6.031482020646341,False,1.5295417747082471,True,True,0.026715431900248127,False,0.99488,3.494988973683168
113,False,0.30596081842100564,-4.279976827298586,,5.86972422493327,False,1.751135851036443,True,True,-0.6166895896325338,False,1.0,1.7323937598229686
114,False,0.23128151036130457,-2.0614762645523874,,5.903245592781943,False,1.5424262726352629,True,True,0.24404655911441078,False,0.9965539521860866,4.143951116423963
115,False,0.7241431218702267,-2.349156991474578,,5.91603343841884,False,1.404957343882316,True,False,-29.907198623382993,False,1.0,0.6020599913279624
116,False,0.5582036873674688,-2.447106148619713,,5.823436878123733,False,1.5007059697202525,False,False,-320.0,True,,0.0
117,False,0.8035244322784841,-3.6199151386954616,,5.562407941067928,False,1.326170552624126,False,False,-320.0,True,,0.0
118,True,0.020953034862193718,-6.511226358688651,0.0,5.859981031815559,False,2.9978219726354673,True,True,1.1499007309000142,False,1.0,0.3010299956639812
119,False,0.2352927616172754,-4.174039729046954,,5.6709372144004995,False,1.8039529245300017,False,False,-320.0,True,,0.0
120,False,0.5721938884850087,-3.7100571377652876,,5.641233758682049,False,1.4528910422050714,False,False,-320.0,True,,0.0
121,False,0.5685726451418599,-3.145816711525615,,5.6521444902182765,False,1.4071709178763643,True,False,-9.125537156880668,False,1.0,1.8260748027008264
122,False,0.5954355315062091,-3.441682730955231,,5.550062663979431,False,1.3622426243879486,True,False,-8.054714085311197,False,1.0,1.3010299956639813
123,False,0.6225820428193819,-3.630843369402636,,5.5546253922938575,False,1.3110165944199805,True,False,-27.340392700804482,False,1.0,0.3010299956639812
124,False,0.6883018419633422,-3.1173080070911228,,5.719706666631781,False,1.343817515172768,False,False,-320.0,True,,0.0
125,False,0.21570652426739031,-1.3805461807715933,,5.3892598483142535,False,1.3802827298338676,True,True,0.37600976155428834,False,0.9990902020631869,4.833453114731084
126,False,0.4129759714503349,-1.9732618365504548,,6.161754601737678,False,1.4167534701764435,True,True,-2.683185628505961,False,1.0,3.718584720027436
127,False,0.5608918553200597,-2.515847025956509,,5.879322016816062,False,1.4039037293068843,True,True,-4.2841389219615165,False,1.0,2.3909351071033793
128,False,0.20093195550191503,-2.505475656826604,,5.923566788426921,False,1.4521765895073018,True,True,0.5272007738180137,False,0.9928331466965286,3.649918718735419
129,False,0.6261570449363119,-2.7647045964561463,,5.705821268935866,False,1.319722801811672,True,False,-18.20212416342552,False,1.0,1.0791812460476249
