event_idx,s1d,s2d,ds,cat_e,g_e,c_prime,in_catalog,SNR,log10_SNR,sigma_dL_over_dL,z_e,m_e,ln_M_ratio_signed
887,-0.6155650697363674,-0.4351259849657115,0.1804390847706559,False,0.15677560000000001,1.0,False,32.024335210866894,1.5054801230459571,0.037437164553264374,0.6426309158826057,0.21756879930885922,-0.21756879930885922
888,0.3141296439425287,-2.0505478545061333,-2.364677498448662,True,0.10445875,0.04203384233665908,True,166.76449765898423,2.2221035995877307,0.00616022700164132,0.09603981135970699,0.30535912062051973,0.30535912062051973
889,-30.650458541472258,-29.682831479804502,0.9676270616677556,True,0.10430035,3.8874159780100115e-08,True,1424.7236072062765,3.1537306204794575,0.0008983284023774961,0.021284327405057014,0.23384086359728404,0.23384086359728404
890,-0.7306143038023454,-0.5393888977539336,0.19122540604841176,False,0.1396051,1.0,False,24.692339335209745,1.3925622366409522,0.042393885870621636,0.7168609665691549,0.09774191483616024,0.09774191483616024
891,-0.39317894539259124,-0.2295473030438087,0.16363164234878255,False,0.18207285,1.0,False,23.40931113253922,1.3693886338701056,0.05166889349203474,0.5371854785469999,0.6337215826959699,-0.6337215826959699
892,-0.03464114388957992,0.11544596581636303,0.15008710970594297,False,0.15270499999999998,1.0,False,23.828838283270105,1.3771028698972902,0.043210876662779875,0.4565809710660531,0.2803561853467885,-0.2803561853467885
893,0.0943583427053695,0.20759605078151092,0.11323770807614142,False,0.111485,1.0,False,27.95314463652089,1.4464306716667161,0.036590869389936574,0.2973760485710037,0.33099570157226943,0.33099570157226943
894,-0.1187523835255887,0.014733492049856509,0.13348587557544522,False,0.11956939999999999,1.0,False,41.07459376186926,1.613573276845968,0.025434483195255205,0.383152693138925,0.23461727357282908,0.23461727357282908
895,-0.30706667396360715,-0.1491386478910782,0.15792802607252895,False,0.13726385000000002,1.0,False,22.203413241644324,1.3464197419311648,0.0445955240521722,0.49762703799490127,0.003759195896750332,-0.003759195896750332
896,-0.2288224630198952,-0.04620975471851803,0.18261270830137716,False,0.11760975,1.0,False,35.11866834281072,1.5455380396277505,0.02693306864057063,0.4725334923724943,0.3379630173016983,0.3379630173016983
897,-0.184670769750017,-0.044989003401596464,0.13968176634842056,False,0.17130925,1.0,False,26.929043310666945,1.430220924808522,0.03891177396873081,0.4124063363292736,0.5797558958189497,-0.5797558958189497
898,0.2716236212719989,0.9748199296902618,0.7031963084182629,True,0.10387555000000001,0.9997679967601983,False,49.05183081310166,1.6906552216484618,0.021963414170462395,0.31508948757286853,0.50943817880827,0.50943817880827
899,-0.2706631607924057,-0.11470746262354216,0.15595569816886357,False,0.10359615,1.0,False,31.05391128413028,1.49211630796306,0.0354370742245386,0.4947346401075735,0.648571697164046,0.648571697164046
900,1.4309494104217877,0.32827782649409415,-1.1026715839276935,True,0.1253458,0.0015169909557788408,True,406.7105275653722,2.6092854141168456,0.0024784994193627085,0.0532476864864665,0.16077563636561093,-0.16077563636561093
901,-0.6569402444368316,-0.472626409661991,0.18431383477484065,False,0.1206637,1.0,False,27.52592139016249,1.4397418652628948,0.03866045749560581,0.6685452378389276,0.407424023394914,0.407424023394914
902,-0.4748263934781778,-0.30484554611174247,0.16998084736643532,False,0.1306483,1.0,False,33.366388033314536,1.5233091961033358,0.030431287067345162,0.5763043563907614,0.16384941075435913,0.16384941075435913
903,-0.12465844368660928,0.028039377701105626,0.1526978213877149,False,0.17696295,1.0,False,20.23798282500347,1.3061672230082941,0.056398169522874374,0.47453765416736055,0.6103235697945171,-0.6103235697945171
904,3.9536711297371205,0.9147260878762601,-3.0389450418608606,True,0.12538605,0.013749267230146522,True,257.3198853700213,2.4104733492603594,0.0039295097456273085,0.05820314494911582,0.15653332387271776,-0.15653332387271776
905,-0.9043715269257283,-0.6973521917966068,0.20701933512912152,False,0.13773055,1.0,False,20.96645721612084,1.3215250522357511,0.06643881515247613,0.8397477957690624,0.20029703269343188,0.20029703269343188
906,-0.26657847222564235,-0.1190627378459651,0.14751573437967724,False,0.1437911,1.0,False,36.54904930690597,1.5628760848196115,0.027408220985008898,0.45105029000383967,0.1446816844065539,-0.1446816844065539
907,-0.2524727334888508,-0.10632768984324405,0.14614504364560676,False,0.14948794999999998,1.0,False,29.69293791246319,1.4726531701809982,0.03388106242499571,0.4441971286266288,0.23988274307561286,-0.23988274307561286
908,-0.7147349671476892,-0.5249647103007677,0.1897702568469215,False,0.11870130000000001,1.0,False,26.27541120393468,1.4195495213587905,0.037956928598049916,0.7062249833659187,0.46854945336020726,0.46854945336020726
909,-0.544175704871996,-0.37032716205445093,0.17384854281754503,False,0.14142925,1.0,False,26.65698708988017,1.4258110616501254,0.039149419476068655,0.600488403062334,0.004779459977946136,-0.004779459977946136
910,1.006618852228235,-0.8025905263769666,-1.8092093786052017,True,0.12547219999999998,0.020751918971964045,True,147.9905701953819,2.170234043485614,0.008011006016006047,0.08134839762653207,0.13517313277941573,-0.13517313277941573
911,-0.04442047518029564,1.7682516998561921,1.8126721750364878,True,0.16809485000000002,0.9995994714803552,False,29.56506635502989,1.470778858054928,0.04095524160568577,0.2500201502934098,0.6623428503843662,-0.6623428503843662
912,-0.9113112589292919,-0.7033021224828844,0.2080091364464075,False,0.12275235000000001,1.0,False,22.132057012060425,1.3450217802838171,0.042983057250514385,0.8446852150824316,0.47076324393417657,0.47076324393417657
913,0.053518790888151764,0.20721451609935196,0.1536957252112002,False,0.1846554,1.0,False,30.23536567560665,1.4805152254618144,0.03233383861918621,0.4249260883699077,0.7450924650107722,-0.7450924650107722
914,-0.6046181054106808,-0.4246865709384369,0.17993153447224391,False,0.18351695,1.0,False,20.392314221587263,1.309466514480143,0.05141944116919086,0.6403548387490192,0.5851427319528791,-0.5851427319528791
915,1.368757079026749,1.7124390649167138,0.3436819858899649,True,0.1134326,0.6264534514955986,False,175.34537635840928,2.2438943185579636,0.006629183364983551,0.1600225089285102,0.17348049903571347,0.17348049903571347
916,-0.751120071049937,-0.5580736534544601,0.19304641759547692,False,0.1461264,1.0,False,21.5251668729219,1.332946526987864,0.04702028569783781,0.7303060492911484,0.00038185613422849987,-0.00038185613422849987
917,0.046780341819374585,0.16454850973826027,0.11776816791888568,False,0.18362795,1.0,False,33.72071422378655,1.5278967646527162,0.029013547895307582,0.3154019477651428,0.8152442602442213,-0.8152442602442213
918,-0.28517690093119413,-0.13590378801247016,0.14927311291872397,False,0.13553520000000002,1.0,False,38.85797424102553,1.58948015604564,0.02904400311845856,0.46011031044361145,0.0007121234413468974,-0.0007121234413468974
919,-0.25966702686450716,-0.09260569269322608,0.16706133417128108,False,0.14865815,1.0,False,27.31364450630359,1.4363796526617068,0.03543414059012345,0.4699807427525316,0.2085890374897167,-0.2085890374897167
920,-0.04183561757429285,0.1250433352506518,0.16687895282494467,True,0.10504805,0.9999965213578108,False,43.015160620222815,1.6336215489116388,0.027946262645910047,0.35281590660125883,0.5127330653211167,0.5127330653211167
921,0.26783605176250425,0.725047148843138,0.4572110970806338,False,0.13119415,1.0,False,61.121842277459976,1.7861964358633973,0.016656714190912362,0.32580116512322466,0.025183565630344518,-0.025183565630344518
922,0.5976429364874741,0.8266882793172662,0.22904534282979205,False,0.21475645,1.0,False,24.043081168995144,1.3809901226046795,0.03756261015445633,0.3674971777468004,1.1387455398308253,-1.1387455398308253
923,-0.1259035109037575,0.008261833140466017,0.13416534404422353,False,0.12064495,1.0,False,41.43623337828606,1.6173802704492175,0.025349862894466866,0.38627189704548465,0.2161280238535945,0.2161280238535945
924,-0.23295680139865363,-0.08863964577798802,0.1443171556206656,False,0.12489644999999999,1.0,False,35.19617421614348,1.5464954587304873,0.028966131573812164,0.43494354445396044,0.17139239759149483,0.17139239759149483
925,0.6218671878745136,1.0891330672436075,0.4672658793690939,False,0.14577669999999998,1.0,False,30.472273533376896,1.4839048581007444,0.04028694310813052,0.3350922120627134,0.26255333949716014,-0.26255333949716014
926,0.16826967737593165,0.335091979843227,0.16682230246729532,True,0.10837615,0.9999998241058119,False,27.293549514771133,1.436060019159681,0.040546110695182415,0.41660827598885436,0.4882678280015264,0.4882678280015264
927,-0.6111637294223365,1.374907838494187,1.9860715679165235,True,0.1301025,0.9993160935253289,False,50.56619255867735,1.7038602541465238,0.020423191976229764,0.2725812689641267,0.04835160089960441,-0.04835160089960441
928,-0.8610872240255577,-0.6577277512850971,0.20335947274046062,False,0.13409264999999998,1.0,False,25.28483145199644,1.4028600629829253,0.04138934564556177,0.807485893309641,0.24433346531252262,0.24433346531252262
929,-0.6002445388375127,-0.42137090735661037,0.17887363148090235,False,0.15988455000000001,1.0,False,21.021198182300093,1.3226574666461202,0.050594920353173964,0.6331656233419679,0.26908675389845726,-0.26908675389845726
930,-0.5783387421340874,-0.40136931070531257,0.17696943142877486,False,0.11285919999999999,1.0,False,30.024415477847267,1.4774745612134443,0.03328567419500781,0.6199383227625146,0.5324229013381458,0.5324229013381458
931,-0.5296027381540998,-0.35693400293084177,0.17266873522325799,False,0.14279225,1.0,False,23.74843477546814,1.3756349911912895,0.0448419648542423,0.5934831873297077,0.03155850647453984,-0.03155850647453984
932,-0.20244869258352322,-0.06099633111222852,0.1414523614712947,False,0.11914995,1.0,False,62.94310551927204,1.7989481665500497,0.020530789589975854,0.42073324667364115,0.27055574522743453,0.27055574522743453
933,-0.2448531617416092,-0.07648604665755336,0.16836711508405583,False,0.1630162,1.0,False,30.176537541846503,1.4796694073171248,0.03739407597434525,0.4822679180131272,0.41436308069464783,-0.41436308069464783
934,-0.46305947423017596,-0.29590568868496064,0.16715378554521532,False,0.1512293,1.0,False,38.14606956736731,1.581449796468079,0.02737480486789234,0.5593237565255731,0.18756302553545617,-0.18756302553545617
935,-0.4815632235168894,-0.31382401432757917,0.16773920918931023,False,0.16607395,1.0,False,23.22689443671166,1.3659911461256102,0.04667995724701821,0.5634475364564162,0.4024319262066735,-0.4024319262066735
936,0.13513731011860475,0.9620058524509636,0.8268685423323588,True,0.15885925,0.9999993061586439,False,31.493694897190693,1.4982236158390159,0.03362970293584682,0.32422829652996354,0.4711176905088481,-0.4711176905088481
937,0.29906763500688854,0.553560936113406,0.2544933011065174,False,0.12855325,1.0,False,30.958123797475672,1.4907746325956814,0.0381970796965933,0.38501751766311904,0.06782000378258841,0.06782000378258841
938,-0.739913113897605,-0.5480423835159338,0.19187073038167113,False,0.13145105,1.0,False,20.63291947250035,1.3145606831884051,0.05729935251467961,0.7227660190577144,0.24132161004736188,0.24132161004736188
939,-0.6069699878257223,-0.4272238014017656,0.17974618642395673,False,0.17009015,1.0,False,23.71861565938409,1.375089337768316,0.04201197714952766,0.6383658311398501,0.4097807225611897,-0.4097807225611897
940,0.19217506047555216,1.2108523962226048,1.0186773357470527,True,0.16819675,0.9999999926233515,False,41.0256023732936,1.613054966458266,0.026153127933878625,0.3032781089244007,0.6206625604651861,-0.6206625604651861
941,-0.3924010088172999,-0.23033127125691147,0.16206973756038842,False,0.1717455,1.0,False,24.6635602475936,1.3920557682970238,0.040442223287923,0.530367035718984,0.5026574094998935,-0.5026574094998935
942,-0.4538559725837384,-0.28834453365060825,0.16551143893313014,False,0.16307255,1.0,False,25.85895115713673,1.4126109058535212,0.04190392864669402,0.5500604111044202,0.3689413345598866,-0.3689413345598866
943,-0.2638035089348454,-0.11339185300869294,0.15041165592615247,False,0.14469325,1.0,False,24.558947742151418,1.3902097549948964,0.056668543413554415,0.46528212192776675,0.14874445148077803,-0.14874445148077803
944,-0.17977999559866104,-0.025434909865928976,0.15434508573273206,False,0.12792665,1.0,False,37.57220868496093,1.5748667258458264,0.02729099338066749,0.4639049699984095,0.13633713028299302,0.13633713028299302
945,-0.3948243587525987,-0.23534840409045166,0.15947595466214703,False,0.16617664999999998,1.0,False,20.503267180450973,1.3118230710744583,0.054211362386837214,0.515884935084998,0.43566559855038695,-0.43566559855038695
946,3.0462375591079978,1.1176668057512265,-1.9285707533567713,True,0.1044377,0.12861164580032058,True,336.9278731502751,2.527536940499168,0.0031327235488143876,0.06990124989560147,0.2802652777847195,0.2802652777847195
947,0.28890938286707496,0.5904269412496882,0.30151755838261324,False,0.15877049999999998,1.0,False,47.35741501166083,1.6753879885457215,0.027709314908290462,0.36635496317846844,0.4374181011702213,-0.4374181011702213
948,-0.642985509012472,-0.460053751193001,0.18293175781947096,False,0.12479670000000001,1.0,False,20.752928518149,1.3170793901821456,0.051359769396684955,0.6600930087060438,0.3239623556599549,0.3239623556599549
949,-0.3261067087208411,-0.16836579159225082,0.15774091712859026,False,0.1222442,1.0,False,32.76816886925887,1.5154521730822252,0.03346822026990601,0.5055044462618982,0.271033035040703,0.271033035040703
950,0.41563670659598945,1.0220168420946854,0.606380135498696,False,0.13145774999999998,1.0,False,51.05206249087193,1.7080132921684885,0.0194771413047026,0.328633918606829,0.027585104282919038,-0.027585104282919038
951,0.217979212371233,0.3196029392006136,0.10162372682938062,False,0.12097605,1.0,False,76.99914723574052,1.8864859153950395,0.013712316111631772,0.2538895249967267,0.10523894046982768,0.10523894046982768
952,-0.5620796683988067,-0.38635168014344823,0.1757279882553585,False,0.17476945,1.0,False,22.39444236424024,1.350140252708434,0.04605222913499057,0.6127687128275258,0.48908942434629554,-0.48908942434629554
953,0.22592033057842167,0.307249964356959,0.08132963377853733,False,0.24156804999999998,1.0,False,20.12968867721144,1.3038370582063548,0.05227564614674524,0.3904497523038919,1.4283736136171152,-1.4283736136171152
954,-0.7968132629387441,-0.5993894340774014,0.1974238288613427,False,0.12156020000000001,1.0,False,26.76122977871565,1.427506067012017,0.037285937562296305,0.7617554942092095,0.44616106364846736,0.44616106364846736
955,-0.22218671596094788,-0.07886018658460607,0.14332652937634183,False,0.11847275,1.0,False,48.12419494250376,1.6823634773746834,0.020719363408786436,0.42992676150588044,0.2904959921650556,0.2904959921650556
956,-0.4687038169464582,-0.2982456258616925,0.17045819108476568,False,0.17834465,1.0,False,25.74915675002002,1.4107630110545035,0.03936201275999043,0.579902805771541,0.5574618840911262,-0.5574618840911262
957,-0.04492991645044238,0.10864451605279148,0.15357443250323385,False,0.1389515,1.0,False,32.162710306307794,1.5073526390029464,0.030237257290023887,0.467516266790122,0.053307084698567916,-0.053307084698567916
958,-0.05773901263070864,0.06996803300882698,0.1277070456395356,False,0.1164731,1.0,False,48.09334902527712,1.682085020628704,0.020649379084995804,0.3572434713270593,0.2759625296419398,0.2759625296419398
959,0.0083283550007529,0.12977155321678413,0.12144319821603122,False,0.12693805,1.0,False,55.54594091309213,1.744652327841155,0.0182982117278287,0.33047158986090597,0.05515095317119055,0.05515095317119055
960,-0.6134772302367247,-0.433367356922076,0.18010987331464873,False,0.1468137,1.0,False,22.142896649580745,1.3452344330125332,0.051175435781596196,0.6412949312599067,0.06562432594056951,-0.06562432594056951
961,0.5107933951256522,0.5916331235185973,0.08083972839294506,False,0.2091065,1.0,False,33.53663292022108,1.5255194572690722,0.05620006861613677,0.17007380033337696,1.2393468250606208,-1.2393468250606208
962,-0.5270782599459785,-0.3539931157424011,0.17308514420357735,False,0.16786004999999998,1.0,False,30.69934984628611,1.4871291780452578,0.03554354042779513,0.595675591189288,0.40635482182714344,-0.40635482182714344
963,0.25721613307076985,0.7873066082519025,0.5300904751811326,True,0.1323173,1.0,False,51.23570475840657,1.7095727143999069,0.01934500030827442,0.33983313116243874,0.03402809996545507,-0.03402809996545507
964,-0.508907079173015,-0.3367902346994353,0.17211684447357972,False,0.1256844,1.0,False,24.48988005119902,1.3889866580022172,0.0429759333455412,0.5901923167789669,0.26308264857577546,0.26308264857577546
965,-0.7342174127860084,-0.542647283934627,0.19157012885138136,False,0.15608244999999998,1.0,False,22.130077747907063,1.3449829397034758,0.042841740751798744,0.7193652389267234,0.1602132515861943,-0.1602132515861943
966,0.5862670256226105,0.6648665402208204,0.07859951459820991,False,0.1291828,1.0,False,106.22133695608942,2.026211763370052,0.009913243070467702,0.17851773850568733,0.11228296294418612,-0.11228296294418612
967,-0.11317708268974148,0.019803081777425274,0.13298016446716676,False,0.10845685,1.0,False,58.63974807184425,1.7681920958206072,0.01748324588165338,0.38078497667778616,0.4596313460636091,0.4596313460636091
968,0.3447698771934956,0.7279934694746963,0.38322359228120073,False,0.14991074999999998,1.0,False,37.45102922050583,1.573463757379793,0.02646036519446604,0.35670241424963894,0.31125067456865413,-0.31125067456865413
