event_idx,host_galaxy_index,stellar_mass_1e10_Msun,host_redshift,BH_mass_Msun,sigma_M_Msun,sigma_M_fractional,sigma_M_dex,ds
386,16381980,4.0,0.169719,10768692.872787867,8514117.742161242,0.7906361378061155,0.3433689118424949,-2.6265161677710736
396,17526254,0.3,0.117321,709540.708756878,701729.1079433118,0.9889906234876189,0.4295131704347294,-1.6375859236634747
434,7993503,1.0,0.166796,2511886.431509587,2247225.256107703,0.8946364883053933,0.38853569018033535,-1.002838784793524
442,16559547,2.0,0.22960199,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.35133723283360374
465,19033781,0.8,0.148956,1987213.3054627255,1829073.2001023148,0.9204211722386855,0.3997338361301836,1.874445092441766
474,17747270,3.0,0.098200999,7961177.69303711,7326278.001474126,0.920250531260184,0.3996597276948338,0.22864830095903343
576,5771975,0.02,0.019948,41312.501770996714,156291.61459765988,3.7831554105344405,1.6430035189775387,-1.7060421321031234
610,12887695,1.9,0.229385,4928233.550586981,3880710.796097938,0.7874445795361551,0.3419828356971784,-0.8488203861835678
619,18601524,2.0,0.21129,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.043836424215548675
640,12834654,1.2,0.182982,3041867.608939257,2326826.8958452432,0.7649336509607797,0.33220646363437467,-0.34573544290932257
656,10318280,5.0,0.234589,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,0.024786044506619476
697,14936074,0.2,0.098885,463533.8938044081,591255.4174405894,1.2755386938114055,0.5539594161763749,-1.1153123085572136
744,4134762,5.0,0.1178599999999999,13611892.310650198,13952919.731515938,1.025053637883905,0.445175138587834,-1.0168126442415817
765,9747470,2.0,0.203655,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,0.6343777614020487
777,5259568,0.04,0.025466001,85538.76799929526,214523.5688652946,2.5079104350329433,1.0891716630423909,-0.3019484157823269
816,1790333,1.0,0.062624,2511886.431509587,5510986.3493773155,2.193963182509544,0.9528261036627919,-0.4769650542236543
882,9369135,1.3,0.20965099,3308571.465756485,2972567.863595078,0.8984445082601286,0.39018949223365434,-0.12036684224403504
883,15745147,5.0,0.28987801,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,-0.8788157144200773
888,6546560,3.0,0.2492199999999999,7961177.69303711,5511993.34490642,0.6923590400107813,0.30068771057251503,0.7979193976839652
