event_idx,s1d,s2d,ds,cat_e,g_e,c_prime,in_catalog,SNR,log10_SNR,sigma_dL_over_dL,z_e,m_e,ln_M_ratio_signed
372,-0.498591456745467,-0.32753392138014065,0.17105753536532636,False,0.15413,1.0,False,28.380863808634512,1.453025609642043,0.03572147055378326,0.5922527746596572,0.20512738970286504,-0.20512738970286504
373,-0.9740233044633109,-0.7591338588892598,0.2148894455740511,False,0.1377168,1.0,False,20.519834317957915,1.3121738498565858,0.04802132959907927,0.9205916884269048,0.2509243736721829,0.2509243736721829
374,-0.49365209561602574,-0.3228201417703411,0.17083195384568467,False,0.1718732,1.0,False,20.318628930571467,1.3078943990854734,0.05020263346505987,0.5917395312635028,0.458727662713622,-0.458727662713622
375,-0.5188719140941207,-0.34616945442000857,0.17270245967411213,False,0.18349515,1.0,False,20.906905383023727,1.3202897537866656,0.04925605998613856,0.6033740451992426,0.60334491872575,-0.60334491872575
376,0.7565942308826561,0.9796340920626525,0.2230398611799964,True,0.1020302,0.9977659006257915,False,64.76523630744823,1.811341954465164,0.01598654918662892,0.33186405285968706,0.5677685204434538,0.5677685204434538
377,0.14772952490003086,0.28744581483888226,0.1397162899388514,False,0.17757085,1.0,False,40.35998491369608,1.6059509952284068,0.024545949869947275,0.3640232605733384,0.6957861487241938,-0.6957861487241938
378,0.42755319875236136,0.9260003766598849,0.4984471779075235,True,0.10688165,0.9962533860158476,False,34.2636425352316,1.5348335305168632,0.02912032756655776,0.3249333741912141,0.45444818889640487,0.45444818889640487
379,-0.45743211824145164,-0.28858319030371476,0.16884892793773687,False,0.1494088,1.0,False,30.46453564048852,1.4837945627227422,0.032078240521283434,0.578059047089524,0.14210604905404967,-0.14210604905404967
380,0.2675790588142044,0.5043111826338094,0.23673212381960496,True,0.11443935,0.9990388406596962,False,52.52887104039452,1.7203980669710939,0.01979231487229502,0.35811601807584303,0.32132555053530193,0.32132555053530193
381,0.26287333148617953,1.2048903613102613,0.9420170298240818,True,0.11899509999999999,0.9882134735744019,False,53.10727783499081,1.7251540409871873,0.021509003208519898,0.29083465082816945,0.1772820676907566,0.1772820676907566
382,-0.6628615084329098,-0.4767910399284143,0.1860704685044955,False,0.149609,1.0,False,22.923244032476774,1.3602760777678549,0.05000803284046436,0.6930622499774154,0.07209377181700306,-0.07209377181700306
