event_idx,host_galaxy_index,chord,radius,outside,delta_theta,delta_phi,phi_var,theta_var,cov
1036,8876070,0.0007739039030015169,0.0013208492795830367,False,-4.3339037770540045e-05,0.0010491839533881553,5.718499005887124e-07,6.246912244682792e-07,-3.595520416306927e-07
1061,11551111,0.010470422179508646,0.04050186504056046,False,-0.0012813488154579389,0.011992884051160058,0.0004454521620774,0.0006814608446408,-0.0001582882010693
1100,9091384,0.0009147153098114931,0.00221134057396516,False,-0.0002752863566777286,0.0010461657562945703,5.766199091455997e-07,2.049915711584077e-06,-5.610171797404536e-07
1121,2703833,0.012640522878032462,0.06494460143550129,False,-0.006284476338307643,0.011395304589456146,0.0001028583975408,0.0018738881565168,-3.6375710056642535e-05
1130,16721267,0.0034544551005790095,0.007951719029324584,False,0.0034536428297509136,7.505062164181453e-05,5.245986251596133e-07,2.810122628657774e-05,1.596777047838262e-07
1202,6058492,0.00013645324951831552,0.0006208292919993074,False,0.00013603486178703772,-1.4269556921409077e-05,2.673086711258576e-07,9.058623009138693e-08,-5.58772238739273e-08
1210,8573165,0.009180499403819384,0.013550144287843357,False,-0.006691110138913103,0.007996597863188626,4.477168682463689e-05,7.332330453836488e-05,-2.6991539543160915e-05
1247,17625658,0.0004303078912556869,0.0008612105847965291,False,-0.0004286324336428837,-4.4262658533966714e-05,1.0321826810954417e-07,3.292040482497809e-07,-1.223182017765652e-08
1251,6438311,0.00864366644754837,0.008027198609920835,True,-0.005475544594478077,0.007596298393559575,3.469055039756363e-05,2.48945687696258e-05,2.8329894768874065e-06
1285,12731114,0.0011095222151376865,0.0017028082645162287,False,0.0010891468935224635,0.0004216339506579736,1.540922956118851e-06,1.2859282162784853e-06,-9.949847014362132e-08
1310,7086442,0.0002748409756966761,0.0006589786285190428,False,0.00026875258508773925,-0.00010723281023139464,6.480175407343289e-07,1.2603959020743557e-07,3.86083699950011e-08
1317,17480943,0.0037891789365862103,0.008759485878681923,False,0.0033850270051107856,0.0017286077602101102,2.583050486499633e-06,3.4101592845664146e-05,-1.1388144474299962e-08
1322,12880143,0.0004868411347543422,0.00101503741722791,False,0.0004853620939688774,4.331420809533526e-05,3.888541347801953e-07,3.951517689622807e-07,1.1437469360179805e-07
1324,1617380,0.01372490287555939,0.02910332888412208,False,0.013467064537454387,-0.0061292200268323604,0.0016204604897159,0.0003729439229067,3.984429769019595e-05
1334,18308280,0.0028510549145599304,0.005892681374293263,False,0.001100050815894038,0.0027729540542384967,1.6169834043428354e-05,4.878337493865283e-06,-3.2098300935180987e-06
1336,14351320,0.0008922076628683494,0.0010891741696101645,False,-0.0008694585757986206,0.0007736332258807543,5.475038686192885e-06,3.628967323810738e-07,-6.245538504728911e-07
1342,15108379,0.0010242481574526817,0.0016198347357775388,False,0.0010139900717762718,0.00015403567693184073,1.4440214787139505e-07,1.1621412131365326e-06,6.886481166677137e-08
1379,11898456,0.0007976355092207274,0.004527718739337251,False,-0.0006329962257380917,-0.0004911903118069993,2.67242986750119e-07,9.090598923960864e-06,4.323533299540735e-07
1473,14038476,0.0035698505164506347,0.005394157484773958,False,0.0021226893332273455,0.0030280638709063723,6.133576357233799e-06,1.2858403678667916e-05,7.790494063353252e-07
1476,5739960,0.0015004684044860133,0.0026556131174532054,False,0.0012417912379367735,0.0008644570781672911,3.573707595129357e-07,3.13433879469728e-06,4.9516618845403434e-09
1484,7571019,0.00022763786784865965,0.0021850685558117305,False,-0.0002250437763646751,3.775577402898023e-05,1.078616797746904e-06,2.107985155805094e-06,1.449307078098438e-07
1509,7300092,0.00324886767594554,0.007725460945688337,False,0.003219360941147942,0.0004369514743363112,2.765012645016349e-07,2.652419956488706e-05,1.9618323962938505e-07
1513,4368917,0.00040581690056075176,0.0007530937629474164,False,0.00014351127415990206,0.0011062754329813629,1.1498652151697595e-06,1.640733344105129e-07,2.951834161235836e-07
1536,1563561,0.00019208586685326936,0.0004631773319277591,False,-0.00018391964706210295,5.71030117257898e-05,3.954586532775529e-09,9.484565465360936e-08,-6.991873836942863e-09
1541,6865507,0.027367208813983364,0.02775937166044138,False,0.01634969141924203,-0.022619303899031884,6.770325093154093e-05,0.0003424362281011,3.658400262114932e-06
1545,13413468,0.01195121012823761,0.00949875460491896,True,0.0117566883020368,0.0025501385075017424,1.1958971494805956e-05,3.978990902598461e-05,3.738950831628938e-06
1574,6341157,0.00013187663406664558,0.000571053529633664,False,0.0001315159864683224,-3.243763989546622e-05,6.822302154033514e-07,1.2270373185873292e-07,-1.4320489683431756e-07
