event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
97,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.026868736585155456,0.0,80238435.15172426,18565734.37561321,0.2313821,0.057015449095099875,0.08532710036922529,0.01864822608757772
98,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0020461923886272737,4.3428376792571527e-07,159281804.52001143,15248069.642005505,0.09573014,0.11318171397801999,0.1603499066014491,0.015315849472233719
99,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,3.6042555105182766e-05,0.0,61393703.996955246,14295255.630395904,0.2328456,0.04362484884431113,0.06167283781051693,0.014358772649764156
100,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,156953993.21187857,37021958.85829423,0.2358778,0.11152762878940829,0.15765137492260264,0.03718645570526582
101,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,2.9369086517653963e-08,0.0,188264589.46674407,16367351.992716866,0.08693803,0.13377616471275808,0.18910109633497169,0.016440075799860118
102,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,161256810.84445956,29794772.90204719,0.184766,0.11458510466405648,0.16197331093669237,0.029927157744712617
103,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,378704564.77218163,42786731.074101634,0.1129818,0.26909810484241825,0.3803872338896428,0.042976842093911546
104,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.000957159090100738,0.0,186315024.51170778,24004678.868338987,0.1288392,0.13239085203509585,0.18731143963959482,0.02411133702766333
105,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0006100295257172157,0.0,24657101.815933447,4027690.609761959,0.1633481,0.017520727202128616,0.024874097826978685,0.004045586540347881
106,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.01159573992395662,9.594639676909435e-12,101975140.05882706,24632891.907470185,0.2415578,0.0724610144252644,0.10447049136351046,0.024742341358537877
107,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.02269518613193103,0.0,108061076.32456347,25842934.005998462,0.2391512,0.0767855303346161,0.11253831401633138,0.025957759944214023
108,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,43817576.832034245,10284974.169039715,0.2347226,0.03113568723783604,0.0440122681302012,0.010330672610563757
109,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,111012094.31633861,13732078.378621012,0.1236989,0.07888245079138506,0.11150534589064473,0.013793093075447184
110,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,2.1613033267932906e-08,0.0,482620814.1270027,87950354.69955574,0.1822349,0.34293842356299326,0.4847652101983997,0.0883411378046174
111,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.04821211924115623,0.0001644214667619781,9453223.964358214,2162749.266077454,0.2287843,0.00671722733257793,0.017986391864128835,0.0021834311163135152
112,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0006271118918007687,0.0,163697403.3420902,21591274.603635248,0.1318975,0.11631932937877602,0.164535195086313,0.02168720946780573
113,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,603350062.7465235,67535521.70685053,0.1119342,0.42872564406324276,0.606030882076527,0.06783559714105108
114,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.00010416184959556188,0.0,267427067.31866813,36942794.28467855,0.1381416,0.19002706514063558,0.26863365070208045,0.03710693938573627
115,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,9.533148073607038e-05,0.0,335277573.3509362,46460733.17693636,0.1385739,0.23823995794499397,0.33678407650127407,0.04666716861015714
116,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0005334129633086649,0.0,30287635.969348744,5205827.779532342,0.1718796,0.021521645624767775,0.030516155920348058,0.0052289584371749565
117,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0006271161045619718,0.0,97106986.23429444,17725296.0936957,0.1825337,0.06900182462370717,0.09764890259747563,0.017804053550323294
118,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,422869550.43623096,66376885.48507174,0.1569678,0.30048065221080755,0.4247484544670334,0.06667181283929093
119,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.038848507946095664,9.299253273587075e-07,86641073.78745355,12506796.90599884,0.1443518,0.06156500588193731,0.0938680762896349,0.012562430024987484
120,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0014523705725007577,8.852480271323749e-09,6834374.5991207855,987733.3163583524,0.1445243,0.004856337692979561,0.007120534165811075,0.0009921226326239613
121,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.04000624819137864,2.9339580126877034e-06,83310667.81295736,10681057.837543312,0.1282076,0.059198501700420715,0.09072677490890871,0.010728713742479239
122,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,523117479.1640729,77817820.4695501,0.1487578,0.37171435294865957,0.5254418071729604,0.0781635824578457
123,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,1.0930626856041293e-05,0.0,217138683.82780692,30139891.886139445,0.1388048,0.15429338260337783,0.21810540469800893,0.030273810169672507
124,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,72992268.9659668,11984844.087998418,0.1641933,0.051866502477216955,0.07331658994920169,0.01203809543192292
125,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.02026872311900726,4.547378271392094e-06,2145736.0637833783,451507.98571596504,0.210421,0.0015247070195826492,0.005725017185252739,0.00045382036076402685
