arm,seed,event_idx,d_L_gpc,z_true,SNR,n_cand_no_bh,n_cand_with_bh,active_073,share_073,s_full,s_pure,s_imp
bsel,900106,8,3.547726594495402,0.6177286778257182,132.5305200235132,,,False,0.0,-0.7502237829493545,-0.7502237829493545,0.0
bsel,900106,9,3.717057948627137,0.641663200239727,24.478899166321952,,,False,0.0,-0.7954699327826658,-0.7954699327826658,0.0
bsel,900106,10,2.0363464450472466,0.3898514288734279,203.25443419761925,,,True,0.003930889910634021,0.2943466885618304,0.3833100116638285,-0.08896332310199812
bsel,900106,11,1.519958036002662,0.3038047806023177,151.9419447096078,,,True,0.0920766251143294,0.18938432413282397,1.0976344455187794,-0.9082501213859555
bsel,900106,12,1.751721496345775,0.34310829204040416,994.9974612426676,,,True,0.05261495683034191,0.28749216452292864,0.8246210234339016,-0.5371288589109731
bsel,900106,13,2.158126920395301,0.4093949217693234,37.57220868496093,,,True,0.0019819763534025038,0.07787495300082263,0.12049991333888943,-0.0426249603380668
bsel,900106,14,2.3745727145664217,0.4435247615122314,589.8166147157915,,,False,0.0,-0.10067176146506532,-0.10067176146506532,0.0
bsel,900106,15,2.513245349090804,0.4650142408169668,339.7987207144713,,,False,0.0,-0.45821070953198056,-0.45821070953198056,0.0
bsel,900106,16,2.1915276261221224,0.4147109172015275,27.551947356283744,,,True,0.0019218124660161616,-0.08807885418580233,-0.05038648401007868,-0.03769237017572365
bsel,900106,17,1.700604183597648,0.3345415920264353,24.70612119931477,,,True,0.042568511941035114,0.4561513872725516,0.9156663707249982,-0.4595149834524466
bsel,900106,18,3.665161281058935,0.6343550752474573,23.79541650353535,,,True,1.1756313501963235e-09,-0.7758917479968257,-0.7758916664689302,-8.152789554571882e-08
bsel,900106,19,2.17992309392729,0.4128660655061866,257.6790023132774,,,True,0.0002050493615878668,0.16754140092691813,0.17261978804450334,-0.005078387117585209
bsel,900106,20,1.685800609563396,0.3320502452471721,410.73417578029085,,,False,0.0,-0.14223904202372836,-0.14223904202372836,0.0
bsel,900106,21,1.8749407146159496,0.36353697438434057,23.33600410187156,,,False,0.0,-0.22625507518427826,-0.22625507518427826,0.0
bsel,900106,22,2.2068586716324363,0.417144790207876,34.164292511836905,,,True,0.002046025958642299,0.01691614614307556,0.058528979748118055,-0.0416128336050425
bsel,900106,23,1.021710279199587,0.2146595827631831,64.0156676510371,,,True,0.4095370358789277,0.5400542566953876,2.0169936111011904,-1.4769393544058027
bsel,900106,24,3.781909134319599,0.6507625686889399,39.48156178990438,,,False,0.0,-0.8108684725339648,-0.8108684725339648,0.0
bsel,900106,25,2.3348755519891986,0.437320421039826,35.269326960325714,,,True,0.0007060414314578788,-0.12361737418853369,-0.10818221051052114,-0.01543516367801255
bsel,900106,26,1.9717715283594528,0.3793817920680154,37.77444793837719,,,True,0.009621172717303178,0.21988876474932065,0.38848705466607536,-0.1685982899167547
bsel,900106,27,1.7166592593900627,0.3372382272493887,25.5357118566142,,,False,0.0,-0.1585534696219247,-0.1585534696219247,0.0
bsel,900106,28,1.314593638253417,0.2679044890699037,33.63605380640029,,,True,0.22497436567370116,0.2391564000512323,1.5293423034975704,-1.290185903446338
bsel,900106,29,2.131198811762669,0.40509546486336023,234.99458292096327,,,True,5.766051222643396e-05,0.2389203905791779,0.24154014331767537,-0.0026197527384974606
bsel,900106,30,2.668963273232393,0.48882142219708924,85.2387807427901,,,True,0.002654760656036239,-0.34013455624588546,-0.29481500297845437,-0.04531955326743109
bsel,900106,31,1.7715504241985534,0.3464166122181493,130.8260513017163,,,True,0.025433851270725522,0.49547087212840024,0.7117631554398589,-0.21629228331145867
bsel,900106,32,1.23829029063065,0.2542793870129215,55.98678159100008,,,True,0.13634039063788828,0.5008808403563321,1.2093881534518836,-0.7085073130955515
bsel,900106,33,1.213858277558234,0.24988161393446448,88.62281577882493,,,False,0.0,0.09494016224484972,0.09494016224484972,0.0
bsel,900106,34,3.831382074918145,0.6576799975140365,25.32004021206624,,,False,0.0,-0.8226830309367986,-0.8226830309367986,0.0
bsel,900106,35,4.168456925119543,0.7042809451249893,22.19967736917189,,,False,0.0,-0.8982881819278968,-0.8982881819278968,0.0
bsel,900106,36,3.972514052348485,0.6773016632795826,667.3384720182261,,,False,0.0,-0.8540247460149911,-0.8540247460149911,0.0
bsel,900106,37,2.980809608236346,0.5355571711859569,275.550638566041,,,False,0.0,-0.5210880912734468,-0.5210880912734468,0.0
bsel,900106,38,4.587391780813543,0.7610190338276583,33.84868292877799,,,False,0.0,-0.9878554575568956,-0.9878554575568956,0.0
bsel,900106,39,1.7002650984015726,0.33448457910426893,217.3384971767157,,,True,0.06974502560033458,-0.2789932253307368,0.6577812016122836,-0.9367744269430204
bsel,900106,40,2.377811463595,0.4440298952413061,317.03055070300803,,,False,0.0,-0.38340612184934975,-0.38340612184934975,0.0
bsel,900106,41,1.750185057874785,0.34285160600178677,221.1338187340414,,,True,0.029307481162354227,0.4214622954012089,0.6316595926613372,-0.2101972972601283
bsel,900106,42,2.287198661841592,0.42983681256349754,321.40781546179966,,,False,0.0,-0.38106586307349277,-0.38106586307349277,0.0
bsel,900106,43,3.966391056291827,0.6764537424653677,30.472273533376896,,,True,0.00010545587666943064,-0.85279181405059,-0.8522987625478199,-0.0004930515027701254
bsel,900106,44,2.911593766024882,0.5252862741540472,22.09112906040772,,,True,0.0009718246628368345,-0.4826854493548134,-0.4643370157212386,-0.0183484336335748
bsel,900106,45,2.435107031758468,0.4529401116191602,35.095017661906326,,,True,0.006019698940363925,-0.0946338596476303,-0.04239627103437279,-0.05223758861325751
bsel,900106,46,2.2289414689156577,0.42064377150601967,72.29843219803796,,,True,0.0015663660547473712,0.11047760987377132,0.1455151596650993,-0.03503754979132796
bsel,900106,47,2.2834009357395098,0.42923917329837813,159.7207545131756,,,False,0.0,-0.3797211798735486,-0.3797211798735486,0.0
bsel,900106,48,3.5777812338390578,0.6219957843731345,43.81331323414299,,,True,3.8441872372796274e-07,-0.7546668246024117,-0.7546423223899528,-2.4502212458976658e-05
bsel,900106,49,2.375562795373882,0.4436791969488679,182.02522096909468,,,False,0.0,-0.41190573633729205,-0.41190573633729205,0.0
bsel,900106,50,2.6050952279676416,0.47909684221707505,22.56254843862893,,,True,0.00021573490115696256,-0.268266009121376,-0.2629984770338376,-0.005267532087538385
