arm,seed,event_idx,z_true,host_galaxy_index,in_catalog,host_draw_mode,s_tilde_phi_host,SNR,candidate_count_no_bh,candidate_count_with_bh,h_fiducial_used,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,combined_no_bh,combined_with_bh,impostor_share_proxy_no_bh
bc,900101,72,0.1701299638919828,3626307.0,True,catalogue_selected,0.904518608752568,35.866096304740985,12104,3108,0.73,0.1027140608227976,0.0045644512001514,6094075.870559082,925724.8423506676,0.1519057,0.0230626767263591,0.0012602837102443,
bc,900101,74,0.0818427276860421,15273415.0,True,catalogue_selected,0.8597347236490348,275.550638566041,23,15,0.73,0.0090907429216881,0.0008473814220009,30907.3980246428,4117.197714243811,0.1332108,0.0015043153402236,5.6856748796828334e-05,
bc,900101,76,0.1562909197656983,12264856.0,True,catalogue_selected,0.759097077978032,41.078827531600616,187,97,0.73,0.0650035219315375,0.0051043666251287,4333356.81225706,688471.620128709,0.1588772,0.0150987174892618,0.0010432335419245,
bc,900101,77,0.2241742452131973,9449249.0,True,catalogue_selected,0.6697455695129559,39.90018420555952,2245,370,0.73,0.0665643639650647,0.0003483246039011,12868632.687141895,2695801.3276436995,0.2094862,0.0243634853446793,0.002867982846754,
bc,900101,78,0.0598708284253662,31074.0,True,catalogue_selected,0.968451220545906,83.08265043593336,365,288,0.73,0.0062786763747489,0.0019845340680259,19349.98395847916,1849.5441132878648,0.09558375,0.0010368727202435,0.000124928173425,
bc,900101,82,0.2865336674713265,15600763.0,True,catalogue_selected,0.5674987379027898,221.1338187340414,21,2,0.73,0.0243858286696815,1.767625221145967e-05,20050810.6910696,4507196.287303895,0.2247887,0.0251186902661835,0.004760079465953,
bc,900101,83,0.271081093539745,5683343.0,True,catalogue_selected,0.8118328757034136,46.04098492127464,157,42,0.73,0.0271285359073107,0.0004019797315339,10256704.67767826,1486566.1401518562,0.144936,0.0152214621781391,0.0015945203673846,
bc,900101,84,0.1424210927052636,17821891.0,True,catalogue_selected,0.8839477593694066,334.3495633469489,2,1,0.73,0.012568172069986,0.0038445853438121,2105633.91724207,308792.838240182,0.1466508,0.0042578971071085,0.000564279901395,
bc,900101,86,0.1118508417751737,11908088.0,True,catalogue_selected,0.90687402240321,52.04359158584538,264,135,0.73,0.0244135901266096,0.0044017118475301,728240.5369734168,97853.30129745284,0.1343695,0.0047211876268809,0.0003760799095452,
bc,900101,87,0.0783400362060432,1255727.0,True,catalogue_selected,0.934922380115683,75.67811681288687,157,124,0.73,0.0090610647989011,0.001618702883142,62297.271950716815,8921.498592542717,0.1432085,0.0015326542337235,0.0001097257892476,
bc,900101,89,0.1913700231577754,11897999.0,True,catalogue_selected,0.7656296054431271,177.0123020948896,34,15,0.73,0.0832031444304272,0.0056313905842528,5287160.55075535,581962.2085533323,0.1100708,0.0190521028569547,0.0009634321499446,
bc,900101,90,0.1385014946699081,17096053.0,True,catalogue_selected,0.8541943169472662,61.962260005145644,37,23,0.73,0.0327349850473032,0.0062044205423183,2443106.0741041554,344756.40544008464,0.141114,0.0078789847928417,0.000748484052742,
bc,900101,93,0.0921799670564509,16974092.0,True,catalogue_selected,0.9240414765359746,107.79314909054284,92,68,0.73,0.0577179837487346,0.0143257932569473,446699.944258688,58896.95348290035,0.131849,0.0098154977695827,0.0009499112989947,
bc,900101,96,0.2884417059515889,3156278.0,True,catalogue_selected,0.5683368332389628,36.308698534866586,192,7,0.73,0.0292303848248714,4.003088889328466e-07,13037472.123917976,4150537.913705016,0.3183545,0.0184978369967859,0.0043824263655456,
bc,900101,98,0.374533394513599,4398038.0,True,catalogue_selected,0.5562513416028546,57.20262169377478,299,0,0.73,0.005547275569697,0.0,28166640.109871965,7472359.627741628,0.2652911,0.0306381645254642,0.0078897919180277,
bc,900101,106,0.2955751402950312,14566048.0,True,catalogue_selected,0.5934246169649667,90.62126205632914,10,2,0.73,0.0148410958132635,6.860255093226864e-06,13757289.360309076,3251797.5735744163,0.2363691,0.0169284138719184,0.0034338795314622,
bc,900101,107,0.2328547517827255,5411492.0,True,catalogue_selected,0.6775085662075426,181.85607616538803,33,14,0.73,0.0253690588402593,0.0008297088057954,2816961.4592895,428803.7728263103,0.1522221,0.0070812706767041,0.0005041726934846,
bc,900101,111,0.394059623472922,6866171.0,True,catalogue_selected,0.5909325189132602,43.11779280688452,1501,0,0.73,0.0029232010751064,0.0,32059160.029868357,12831090.25994354,0.4002316,0.0343233283706099,0.0135478800908546,
bc,900101,112,0.2302410190664054,10123882.0,True,catalogue_selected,0.8316626906200182,35.85215741003731,435,129,0.73,0.0618480443630359,0.0011446092655853,12339024.003601125,2136216.3115787143,0.1731268,0.0230407757474268,0.0023264806886514,
bc,900101,113,0.0738735540158486,8706333.0,True,catalogue_selected,0.892745502503735,419.1725101352295,1,1,0.73,0.0147458421796206,0.002389718371228,112753.1361686984,14936.05145680305,0.1324668,0.0025062254528866,0.0001638537304332,
bc,900101,115,0.2709872807595498,17850499.0,True,catalogue_selected,0.5773136932018726,40.95702638471474,2919,772,0.73,0.0670683380334264,0.0004741177159772,23840801.68209881,3955090.795051182,0.1658959,0.0360301855977592,0.0042054156547216,
bc,900101,116,0.2927674463602892,15263917.0,True,catalogue_selected,0.6795274023109024,71.158808156538,1377,128,0.73,0.0577462322844166,3.564508432772996e-05,19721138.197204284,4428365.750605411,0.2245492,0.0301712470309332,0.0046779586499797,
bc,900101,117,0.1450095220526029,19593483.0,True,catalogue_selected,0.8208843029910062,168.27646830916524,17,9,0.73,0.0323547413087181,0.0022434925855783,1897383.78068819,384375.9605928506,0.2025821,0.0072412196696681,0.000544870702247,
