event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
97,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,230894606.23549157,18877691.025531147,0.08175891,0.16406800111766515,0.23192052263429322,0.01896156883069239
98,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.002162656550768673,2.4030820940494673e-07,130031199.12823428,14189113.957778623,0.1091208,0.09239695665365079,0.13098984600598831,0.01425217554849041
99,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.028428434351829592,5.829753112479962e-07,71072665.48395483,10729884.639157107,0.1509706,0.05050247968185118,0.07639530061642397,0.010777599175467329
100,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,1.0790584431681707e-06,0.0,145755754.12392792,18696283.69231453,0.1282713,0.10357043683437442,0.1464035695975653,0.01877935546410391
101,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,193439868.00697815,16399185.811714927,0.08477666,0.13745358974735308,0.19429936462323077,0.01647205106363889
102,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0016139017606275014,6.50759235716306e-06,235707.0157857577,52183.86276458626,0.2213929,0.00016748758041553081,0.0005209962551499445,5.28539537479637e-05
103,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,2.1449957527768984e-08,0.0,19218134.66485319,4191658.322454322,0.2181095,0.013655931557174253,0.01930352891506642,0.004210282798275959
104,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0096900975260877,4.534903529806263e-06,95305188.0304101,9835092.585269267,0.1031958,0.06772151134766988,0.09743527966201984,0.009879097486236825
105,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0030947325858761148,8.213165700960337e-07,157284477.19304466,16049638.665950615,0.1020421,0.11176246253921027,0.1585283746167969,0.016121006109799798
106,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.2921712774351248,2.8352526660346796e-09,25605909.618331477,6193651.3293443,0.2418837,0.018194926578728694,0.07717717061042523,0.006221171298975091
107,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,2.4807414944099597e-09,0.0,114207572.72009698,12503575.061507508,0.1094811,0.08115307877558572,0.11471502295685858,0.01255913124321478
108,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.11821667913975978,0.005214638542764796,6303078.803710326,1511669.7108074771,0.2398304,0.004478812030616059,0.027151520758056838,0.0018695442722026596
109,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,641308604.0756793,79412866.76894675,0.1238294,0.45569804546644016,0.6441580816981354,0.07976571590484653
110,0.69,0.06734078915538101,0.1320388,0.06734079,6.70429e+07,0.3823553,9.955764e+08,0.0,0.0,561133984.396403,89004147.73674554,0.1586148,0.3987279420689969,0.5636272282443343,0.0893996130800605
