seed,event_idx,z_true,host,dL,SNR,sig_dL,evaluated,z_g,sigma_g,mu_k,mu_p,sd_k,sd_p,pull_p,pull_k,pull_g,C_b,C_s
900101,25,0.2930945544520028,16222830,1.473093562595337,28.197096848827428,0.1293025125370458,True,0.302919,0.0430547730346319,0.2892474176385599,0.2840865274228554,0.0400479961106261,0.0399755815408067,0.2253382360417196,0.09606315389204,-0.2281848179781309,-3.6292814950650354,0.0866972764894971
900101,26,0.158785465239925,12715358,0.5551594484961859,24.08745720482738,0.1589873700548452,False,0.127803,0.0372310452638256,0.140459616097947,0.1383490338485028,0.0337164615744754,0.0332886701149321,0.6139155250379048,0.543528243659212,0.8321674833563745,-1.7245943523609462,-0.056837985180739646
900101,27,0.1703706510506346,2579760,0.5996320544604417,22.788711808690703,0.1435768549486037,False,0.098077,0.0363215005038681,0.1168748321089337,0.1153814868753344,0.0320732120156765,0.0317290554158497,1.733085446591368,1.667928329584002,1.9903817311439431,-1.2556561552175924,-0.05938659147277208
900101,28,0.1748781172973319,290258,1.00555032811283,21.760755172279943,0.1978157099613905,False,0.196752,0.0395269267521808,0.2013015529658921,0.1974137216768032,0.0370247373409916,0.0366925211618536,-0.6141743239736792,-0.7136697669237941,-0.5533919406335142,-2.961325130516489,-0.02941645175478129
900101,29,0.2034095775117992,13878630,0.9618289328811284,589.8166147157915,0.0002618160858438,True,0.180311,0.0389785408417984,0.1826745472767681,0.1793413239309338,0.0358058241326169,0.0354007829410804,0.6798791320780525,0.5790965782056309,0.5925972859155768,-2.5779298273839673,-0.022329971965493536
900101,30,0.2700955889487668,4374164,1.1722247282859637,22.471681036801712,0.0936951726900404,True,0.245555,0.0411744376698882,0.2441304933578204,0.2394464759617869,0.0387631279252256,0.0386252331357607,0.793499753885075,0.6698400511185069,0.5960151574022315,-3.431225437210117,0.013311748143115478
900101,31,0.1378620854952859,9873647,0.5657922725557859,35.779701293375666,0.1012321963841548,False,0.116836,0.036864089206755,0.1315391218847784,0.1296782852896259,0.0331225857128807,0.0327232553381386,0.2500912614314933,0.1908958335957606,0.5703676924542886,-1.5395980109547853,-0.058205986035357
900101,32,0.0649043411644131,20014794,0.0943225704467573,21.486423373876896,0.1840762924177252,False,0.065813,0.0352516463979425,0.0913821894426046,0.0904354681732521,0.0292729755644438,0.0290390768615819,-0.879198988677776,-0.9045150951566582,-0.0257763517008366,-0.8232243053555174,-0.05125495400361529
900101,33,0.1684409290364225,11490575,0.8249926115566673,25.328587733623674,0.1557364382857159,False,0.147085,0.0378989181090723,0.158475083037698,0.1557949092666999,0.0349909910745736,0.03452560136979,0.3662794931296351,0.2848117670484095,0.5634970627647095,-2.1418007797593654,-0.06091692813344571
900101,34,0.1649912682686129,9847087,0.7618336785616543,406.7105275653722,0.0005645490494591,True,0.135707,0.0374999682539719,0.1470640038732713,0.1447585859578724,0.0341357627716234,0.0336917436340793,0.6005234555529233,0.5251754447462995,0.780914481587893,-1.8681233603935712,-0.05543619894463063
