seed,event_idx,z_true,host,dL,SNR,sig_dL,evaluated,z_g,sigma_g,mu_k,mu_p,sd_k,sd_p,pull_p,pull_k,pull_g
900103,25,0.1191615953619733,7230652,0.5339740235046887,1424.7236072062765,7.984272873243278e-05,True,0.17462,0.0388005882536529,0.18116427594201584,0.17781914156504047,0.036046125154516086,0.03562313253875487,-1.6466139281617884,-1.7200928064878136,-1.4293186555697528
900103,26,0.3003954171707392,18709024,1.492717485840782,40.385855219638,0.031294286168639475,True,0.244553,0.041141994618533,0.24207627841482926,0.23744152806190588,0.038600848054244186,0.03845906019081069,1.636906590969567,1.51082532368088,1.3573094277151112
900103,27,0.1231410482098714,924033,0.5593175862145655,74.79517255519544,0.00628882598165541,True,0.10601,0.0151129959154279,0.10923489882670394,0.10896619368135817,0.014764095007900968,0.014738474580041589,0.96175858984134,0.9418897247495104,1.1335309230371329
900103,28,0.1187840101789444,7955196,0.4391637175221036,23.974066851167205,0.11683506494044414,False,0.159326,0.0382817613086256,0.16826287852555483,0.16529607770161803,0.03542782840323988,0.0349715351768672,-1.3299978764855656,-1.3966102517896801,-1.059041915396947
900103,29,0.2210046766122858,4322431,1.0509048878220988,82.88801510766642,0.011528925660437749,True,0.285001,0.0424870872750862,0.2796213316560935,0.2744706115991498,0.040114105842436076,0.0400324612907781,-1.3355645209649019,-1.4612479528784128,-1.5062534876388365
900103,30,0.0903995217897574,20798141,0.3105625653174211,41.43623337828606,0.05106009713860423,False,0.080458,0.0357028049772431,0.10232770813884559,0.10117037445891987,0.030555147211281282,0.030277596441572695,-0.35573671410632646,-0.3903822248542198,0.2784521215096153
900103,31,0.2067049463429885,7998727,0.9074330410316528,39.6500020333033,0.059338782679841856,True,0.229038,0.0405913895874138,0.22743448356996648,0.22305391428599425,0.037925998412649056,0.037732943570549834,-0.4332810111259368,-0.5465785501922155,-0.5501918974445832
900103,32,0.2354591037780125,12607045,1.152163487068612,22.63854829403091,0.24679357893216874,False,0.208275,0.0399158017050966,0.21181397576968644,0.207683348747581,0.03750742389178833,0.037230716989345984,0.7460440538488654,0.6304119439539217,0.6810361465079012
900103,33,0.1038431920962971,7540466,0.2476577113699254,21.19193204309146,0.2859553510777889,False,0.087371,0.0359193113547427,0.10802457913776838,0.1067426964775389,0.031181494382870843,0.030878363051266334,-0.09390084495178216,-0.1340983530208312,0.45858875003521304
900103,34,0.1680976514072572,2224487,0.6715270310814956,32.70490839345884,0.06786484772231571,False,0.117219,0.0369491129600135,0.13136052185845254,0.12950585555020905,0.03309921642295041,0.03270098864050535,1.1801415633424028,1.1099093428487259,1.37699249944967
900103,35,0.121828931870219,19837425,0.547959276422829,147.9905701953819,0.002844941515135428,True,0.102415,0.0364674798502308,0.1200473009453918,0.11847936950605394,0.03230929171191812,0.03195279413413322,0.10482846508208579,0.05514298922777043,0.5323628600043258
900103,36,0.2241066613327523,14617637,1.0726311702754174,994.9974612426676,9.384412490790375e-05,True,0.227985,0.0405624377746317,0.2294281093610301,0.2249637628551444,0.038230988610549355,0.03803957769535559,-0.022531835901447136,-0.13919200684257005,-0.09561404294278507
900103,37,0.1547897871549294,18148224,0.7130704732665866,69.50825315901089,0.024530284610790803,True,0.208744,0.0399790605466228,0.21149093729763224,0.20737143301731584,0.0374730697035672,0.03719563652640997,-1.4136509217970226,-1.5131173024051792,-1.349561798285637
900103,38,0.1528113346182443,9179177,0.6218025761185708,22.23689707018017,0.14560130905156107,False,0.172126,0.0387127900948374,0.17650994182168023,0.1733389051175025,0.0355907179968551,0.035162276905999205,-0.5837952574611537,-0.6658648247987016,-0.4989220703142093
