event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
10,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.0,0.0,8778640.326574922,2091138.1430304218,0.2382075,0.0052982768846188575,0.007451542605746269,0.0017750134858722348
11,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.0,0.0,372410482.9825235,51584685.24730684,0.1385157,0.22476531446480705,0.31611188948819,0.043786448199807954
12,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.010770208101712034,0.0,275771847.7229847,66096609.80680961,0.2396786,0.16643985308250928,0.2366631492011991,0.056104554435366764
13,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.0,0.0,505205534.24761915,49853427.5180448,0.0986795,0.304912686305492,0.4288318490175258,0.042316910748538786
14,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,1.8949586012825082e-05,0.0,544982870.847139,99241309.61765058,0.1820999,0.3289199739032021,0.46260044729631317,0.08423865420563419
15,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.012773935406314767,0.0,182287625.67391258,24356043.733851373,0.1336133,0.11001821210699574,0.15779138506803495,0.02067405553008039
16,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.0,0.0,473662811.30341744,70192243.96240179,0.1481903,0.285875332724974,0.40205754967546886,0.05958103727013532
17,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.059064600076341914,0.000256378876950673,50045911.518370576,7709322.791638196,0.154045,0.030204802372956686,0.05663301391126742,0.006567617477780828
18,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.0,0.0,235339675.20182765,42313531.88772881,0.1797977,0.14203734459662526,0.19976255449038427,0.03591684747654226
19,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.001029705943408735,0.0,120827231.33268413,17444380.07534866,0.1443746,0.07292429157445923,0.10280808891702178,0.014807252208384742
20,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.007910687933375446,0.0,288191532.88952523,36767969.3320759,0.1275817,0.1739356529312541,0.24652012550714342,0.03120962698236336
21,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.0018237119192104985,0.0,252868344.37860194,31677313.691283718,0.125272,0.15261663014227983,0.2150783408178899,0.026888543535794413
22,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.05803391276978014,3.814725293982641e-05,52369519.344546914,8241755.471006076,0.157377,0.03160719695530232,0.0583583864988777,0.006999352834016902
23,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.00019590806979619336,0.0,277783413.1391569,30341212.3734111,0.1092261,0.16765391700925886,0.23583686667110618,0.025754425320974467
24,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.0,0.0,131614765.44408359,17728753.667200126,0.1347019,0.0794350199444829,0.11171810163847253,0.01504863605107568
25,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.01566212699637069,0.0,207699285.13762447,48929337.01094676,0.2355778,0.12535521224912607,0.18005352696471225,0.04153251823112791
26,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,2.063831427433329e-05,0.0,316986204.48151314,28148447.577167723,0.08880023,0.19131444249553103,0.2690712379914704,0.023893148438024293
27,0.56,0.09259709890609577,0.1795736,0.0925971,1.090884e+08,0.3864424,1.178097e+09,0.000343309394880667,0.0,304940307.7358862,20430716.65592964,0.06699907,0.18404423960446878,0.2589236781085612,0.01734213385719014
