event_idx,h,d_hat,sigma_dL,z_true,host_galaxy_index,n_cand_no_bh,n_cand_with_bh,f_bar_z_true,f_k_z_true,L_cat_no_bh,B_num,D_tilde_phi
97,0.73,0.6273218579099814,0.004260680947930493,,-1,1117,1114,,,0.044485745109897556,2029393.9145990175,947092103.9967711
98,0.73,1.5020684972438758,0.10175851839776265,,-1,29521,29519,,,0.03178691457325279,30667527.86036207,947092103.9967711
99,0.73,3.703157750801183,0.00033004519961525824,,-1,0,0,,,0.0,11277820.98151787,947092103.9967711
100,0.73,2.244981550961637,0.056006955969145476,,-1,2027,2027,,,0.00030234225185544176,33375735.23597063,947092103.9967711
101,0.73,2.962606359749608,0.09010826256214188,,-1,19,19,,,5.099146185026989e-08,50842866.50286878,947092103.9967711
102,0.73,1.0330993365942978,0.0011966546923011271,,-1,6,6,,,0.02946346727039747,7935858.616862896,947092103.9967711
103,0.73,4.554844236169754,0.0010504956534154808,,-1,0,0,,,0.0,22537126.323314678,947092103.9967711
104,0.73,2.030157055092196,0.03725733687928728,,-1,0,0,,,0.0,42030307.83810072,947092103.9967711
105,0.73,3.5923702491327734,0.04423855131937754,,-1,0,0,,,0.0,32716904.979033355,947092103.9967711
106,0.73,2.232739039118505,0.030285482762553086,,-1,118,118,,,0.001430251965643976,34534798.15043208,947092103.9967711
107,0.73,2.3639258024158623,0.2101367340932558,,-1,7258,7258,,,0.0025993606104141413,56584220.55224118,947092103.9967711
108,0.73,3.849015601086116,0.1803861661495917,,-1,0,0,,,0.0,32792225.162471164,947092103.9967711
109,0.73,1.0767681660209305,0.08767696204242025,,-1,1326,1326,,,0.025288205524955528,5136917.083802176,947092103.9967711
110,0.73,1.0950707778188435,0.01361516971179941,,-1,177,177,,,0.029314879270391045,13692142.580863964,947092103.9967711
111,0.73,1.4405725006413654,0.037408107216203815,,-1,1333,1333,,,0.037574692054391436,22044440.00851062,947092103.9967711
112,0.73,5.644257368534499,0.09798197157888384,,-1,0,0,,,0.0,5695121.554266145,947092103.9967711
113,0.73,2.879832252900551,0.04026419504205939,,-1,0,0,,,0.0,46619066.07562481,947092103.9967711
114,0.73,1.1801006382849488,0.031210360160368225,,-1,10795,10795,,,0.05605578268172122,15486902.875392096,947092103.9967711
115,0.73,2.307542588448377,0.0015050737656112703,,-1,6,6,,,0.0005311641592717775,51746176.05218679,947092103.9967711
116,0.73,3.2603178229361647,0.0003380792391414638,,-1,0,0,,,0.0,15287118.883314224,947092103.9967711
117,0.73,3.222741509916568,0.022665122306402847,,-1,0,0,,,0.0,50489881.09737415,947092103.9967711
118,0.73,1.8053906914060265,0.0005330424866370995,,-1,1,1,,,0.00011238847538562856,42630132.30518413,947092103.9967711
119,0.73,3.018592188285478,0.07759311734942152,,-1,80,80,,,0.00011182178484136304,50570396.801778525,947092103.9967711
120,0.73,3.258305768169867,0.059254363155351694,,-1,0,0,,,0.0,51910538.03239188,947092103.9967711
121,0.73,1.2205320366712429,0.05329502821441227,,-1,912,912,,,0.05500551919307027,19650451.776429206,947092103.9967711
122,0.73,4.549552802515912,0.016950075087966424,,-1,0,0,,,0.0,17768139.513365738,947092103.9967711
123,0.73,2.236166065746308,0.05771495754860433,,-1,0,0,,,0.0,44748145.400047794,947092103.9967711
124,0.73,1.7541971197146242,0.07494455791191512,,-1,607,607,,,0.012889300142251649,40262860.3721939,947092103.9967711
125,0.73,4.6073067125434255,0.07648539369918939,,-1,0,0,,,0.0,10609161.99834645,947092103.9967711
126,0.73,2.6334525995163944,0.0002618160858438464,,-1,2,2,,,8.663846505008264e-08,55395491.29394743,947092103.9967711
127,0.73,2.8506419210497325,0.10077177897121296,,-1,0,0,,,0.0,47157532.32703324,947092103.9967711
128,0.73,1.536458160184752,0.04058905556871212,,-1,174,174,,,0.017717203533131477,27745695.545602,947092103.9967711
129,0.73,4.284396622430465,0.0009692188091311909,,-1,0,0,,,0.0,30399536.65052093,947092103.9967711
130,0.73,5.375489268985204,0.0007764467209021892,,-1,0,0,,,0.0,8301408.541135828,947092103.9967711
131,0.73,2.0430408882209137,0.03531307311487348,,-1,125,125,,,0.0010989065387330501,44225111.52099072,947092103.9967711
132,0.73,1.7219732114241657,0.032024217387670854,,-1,8,8,,,9.456570900218904e-05,31942101.32980576,947092103.9967711
133,0.73,2.8656088018069026,0.08423451407280332,,-1,387,387,,,0.00010925239350112127,49485417.79811517,947092103.9967711
