event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
124,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.00869650939830707,0.0,43210422.42042366,6174004.665553798,0.1428823,0.025417985893138456,0.03790616086797346,0.005102314373638889
125,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.06999900126379725,0.0,93129227.03043588,21852229.557497494,0.2346442,0.054782092983651484,0.09464157033337749,0.018059096325168545
126,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.007772033444165078,0.0,105560480.02564137,25460447.897353567,0.241193,0.06209462073891869,0.08919995853803207,0.02104099629058163
127,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.0024893224663158457,9.957104019733828e-08,2824999.075621712,604047.041165755,0.213822,0.0016617700691197695,0.002963295679275775,0.00049920567454595
128,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.0,0.0,201885828.74009323,25998973.715987742,0.1287806,0.11875679198439884,0.16684227201214463,0.021486044225242744
129,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.0,0.0,641580907.8299937,73594734.84292868,0.1147084,0.37740187554430893,0.5302146119417668,0.0608200825484047
130,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.008342750437038552,0.0,244125430.79236686,54756773.89865602,0.2242977,0.14360370504278655,0.20385678891227188,0.04525203488684874
131,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.0,0.0,199651165.23501864,35067951.06843804,0.1756461,0.11744227936762215,0.16499550377340286,0.028980818849852152
132,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.05255209174202929,7.76088822280789e-06,24773179.2557696,5570834.176640406,0.2248736,0.014572510185730515,0.033744729220301035,0.004604603647511958
133,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.004010998417703943,0.0,302719066.8307727,38642406.294203326,0.127651,0.17807067228881715,0.2511857222311993,0.0319348163384036
134,0.54,0.09802850094204123,0.1890162,0.0980285,1.186184e+08,0.3881644,1.21004e+09,0.0,0.0,139216454.4335863,8444067.007307747,0.06065423,0.0818923231172373,0.11505111430618198,0.006978336881365419
