detection_index,cond_3d,cond_4d,excluded
184,89.01651296135779,303966077030.92065,False
185,65.08406589516717,898223779588.7197,False
186,52.02322598745854,6319134737.659958,False
187,9.921698196503028,4900364366.995392,False
188,77.25532841372761,3560821897331.885,False
189,55.615328570016686,963733484240.4119,False
192,47.517447466698485,135169011302.5919,False
193,139.7463980295265,4528116275504.879,False
194,56.65984804923483,370096822556.0721,False
195,37.64288984095282,1890821603184.6594,False
196,13.017115037403219,54713550413.26847,False
197,21.285494357718285,199873456734.6054,False
198,43.610590643130244,61919508491.93717,False
199,32.615736124452845,11196345423.045307,False
