event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
89,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0832031444304272,0.0056313905842528,5287160.55075535,581962.2085533323,0.1100708,0.003957829844434,0.0190521028569547,0.0009634321499446
90,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0327349850473032,0.0062044205423183,2443106.0741041554,344756.40544008464,0.141114,0.0018288451883357,0.0078789847928417,0.000748484052742
93,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0577179837487346,0.0143257932569473,446699.944258688,58896.95348290035,0.131849,0.0003343878730222,0.0098154977695827,0.0009499112989947
96,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0292303848248714,4.003088889328466e-07,13037472.123917976,4150537.913705016,0.3183545,0.0097595100002491,0.0184978369967859,0.0043824263655456
98,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.005547275569697,0.0,28166640.109871965,7472359.627741628,0.2652911,0.0210848087123735,0.0306381645254642,0.0078897919180277
106,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0148410958132635,6.860255093226864e-06,13757289.360309076,3251797.5735744163,0.2363691,0.0102983463214423,0.0169284138719184,0.0034338795314622
107,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0253690588402593,0.0008297088057954,2816961.4592895,428803.7728263103,0.1522221,0.0021087035332421,0.0070812706767041,0.0005041726934846
111,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0029232010751064,0.0,32059160.029868357,12831090.25994354,0.4002316,0.0239986471255488,0.0343233283706099,0.0135478800908546
112,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0618480443630359,0.0011446092655853,12339024.003601125,2136216.3115787143,0.1731268,0.0092366700393964,0.0230407757474268,0.0023264806886514
113,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0147458421796206,0.002389718371228,112753.1361686984,14936.05145680305,0.1324668,8.440404317176559e-05,0.0025062254528866,0.0001638537304332
115,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0670683380334264,0.0004741177159772,23840801.68209881,3955090.795051182,0.1658959,0.0178465994188815,0.0360301855977592,0.0042054156547216
116,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0577462322844166,3.564508432772996e-05,19721138.197204284,4428365.750605411,0.2245492,0.0147627272850551,0.0301712470309332,0.0046779586499797
117,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0323547413087181,0.0022434925855783,1897383.78068819,384375.9605928506,0.2025821,0.0014203317794992,0.0072412196696681,0.000544870702247
119,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0159659688579,4.2155090174601495e-05,4763273.493235747,1035735.135197388,0.2174419,0.0035656617210227,0.0076140639881537,0.00109620716047
120,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0119116927665392,0.0027891980314783,177748.5663366295,20730.04543914616,0.1166257,0.0001330579190662,0.002116037239284,0.0001947258899315
122,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0751078131834062,0.0010653470638999,24748838.346248847,2972904.031619306,0.120123,0.018526331871625,0.0382904421904773,0.0032049970992397
123,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0024905421739845,0.0002703468154703,215671.64195971796,28770.47528099096,0.1333994,0.0001614461397477,0.0006309084787033,4.713023337961468e-05
125,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0288342247555098,1.9498715798042887e-05,8802858.123153469,2044955.7305051396,0.2323059,0.0065895889223863,0.0139625290395915,0.0021604024238703
